funcao,caso,metodo,busca_linear,x0,x_otimo,f_otimo,x_teorico,erro_x,iteracoes,tempo,convergiu,f_inicial,reducao
f1,caso_i,gradiente,armijo,[0. 3.],[1.97744315 0.98870522],2.599588737688345e-07,[2. 1.],0.025226643300609013,1000,0.026126861572265625,False,52.0,51.999999740041126
f1,caso_i,newton,armijo,[0. 3.],[1.99543268 0.99771634],4.351554622301365e-10,[2. 1.],0.005106415107905156,15,0.000484466552734375,True,52.0,51.99999999956484
f1,caso_i,bfgs,armijo,[0. 3.],[2.02435174 1.01217434],3.516670007903751e-07,[2. 1.],0.02722538655779938,1000,0.03769111633300781,False,52.0,51.999999648333
f1,caso_i,polak_ribiere,armijo,[0. 3.],[1.99035876 0.99517895],8.641105965307522e-09,[2. 1.],0.010779428485237809,1000,0.035478830337524414,False,52.0,51.99999999135889
f1,caso_ii,gradiente,armijo,[-1. -1.],[1.97738397 0.98869307],2.6162139126676133e-07,[2. 1.],0.025285006812630677,1000,0.02712845802307129,False,82.0,81.9999997383786
f1,caso_ii,newton,armijo,[-1. -1.],[1.99543268 0.99771634],4.351554622301365e-10,[2. 1.],0.005106415107905156,16,0.00044989585876464844,True,82.0,81.99999999956485
f1,caso_ii,bfgs,armijo,[-1. -1.],[1.97527042 0.98763798],3.7402654800024955e-07,[2. 1.],0.027647269609903026,1000,0.03775620460510254,False,82.0,81.99999962597346
f1,caso_ii,polak_ribiere,armijo,[-1. -1.],[2.00920413 1.00460315],7.1815098320027596e-09,[2. 1.],0.010291014044897438,1000,0.02944159507751465,False,82.0,81.99999999281849
f2,caso_i,gradiente,armijo,[-5.  5.],[2.74338075 7.52878842],3.0400789455098494,[1. 1.],6.7575479809980425,1000,0.0739748477935791,False,40036.0,40032.95992105449
f2,caso_i,newton,armijo,[-5.  5.],[1. 1.],7.057346873333477e-28,[1. 1.],5.85883319749005e-14,38,0.0011322498321533203,True,40036.0,40036.0
f2,caso_i,bfgs,armijo,[-5.  5.],[2.73826629 7.50082389],3.022310409834784,[1. 1.],6.72921101405784,1000,0.0887918472290039,False,40036.0,40032.97768959017
f2,caso_i,polak_ribiere,armijo,[-5.  5.],[1. 1.],5.715806229532893e-19,[1. 1.],8.273818100116864e-11,60,0.004862546920776367,True,40036.0,40036.0
f2,caso_ii,gradiente,armijo,[100.   1.],[1.37362594 1.88756805],0.1396481584947223,[1. 1.],0.96300227548068,1000,0.06428790092468262,False,9998009901.0,9998009900.860352
f2,caso_ii,newton,armijo,[100.   1.],[1. 1.],2.568312928194753e-21,[1. 1.],5.678542431709674e-11,213,0.0059356689453125,True,9998009901.0,9998009901.0
f2,caso_ii,bfgs,armijo,[100.   1.],[0.98902092 0.97803723],0.00012210656192124594,[1. 1.],0.02455409597195711,1000,0.07390332221984863,False,9998009901.0,9998009900.999878
f2,caso_ii,polak_ribiere,armijo,[100.   1.],[0.99999907 0.99999814],8.607590206134169e-13,[1. 1.],2.075423856947466e-06,1000,0.06445980072021484,False,9998009901.0,9998009901.0
f3,caso_i,gradiente,armijo,[0.5 0.5],[-1.54226224 -1.52603992],2.457642559041582,[1.743 2.03 ],4.841318823506699,72,0.00257110595703125,True,2561.7312500000003,2559.2736074409586
f3,caso_i,newton,armijo,[0.5 0.5],[1.54226162 1.52604038],2.4576425590413375,[1.743 2.03 ],0.542467688394856,14,0.00048828125,True,2561.7312500000003,2559.273607440959
f3,caso_i,bfgs,armijo,[0.5 0.5],[1.54226115 1.52604076],2.45764255904145,[1.743 2.03 ],0.54246751649537,56,0.0026216506958007812,True,2561.7312500000003,2559.273607440959
f3,caso_i,polak_ribiere,armijo,[0.5 0.5],[-1.54226223 -1.52603966],2.4576425590416484,[1.743 2.03 ],4.841318616399868,43,0.0017104148864746094,True,2561.7312500000003,2559.2736074409586
f3,caso_ii,gradiente,armijo,[ 3. -3.],[ 1.54226072 -1.52604123],2.4576425590417355,[1.743 2.03 ],3.561702612180457,70,0.0023126602172851562,True,10.312635269013871,7.8549927099721355
f3,caso_ii,newton,armijo,[ 3. -3.],[ 1.54226158 -1.52604046],2.457642559041334,[1.743 2.03 ],3.561701791396441,7,0.00025343894958496094,True,10.312635269013871,7.854992709972537
f3,caso_ii,bfgs,armijo,[ 3. -3.],[-1.54226234  1.52603982],2.45764255904165,[1.743 2.03 ],3.323691393973029,72,0.003030061721801758,True,10.312635269013871,7.854992709972221
f3,caso_ii,polak_ribiere,armijo,[ 3. -3.],[ 1.54226104 -1.52604118],2.4576425590415933,[1.743 2.03 ],3.561702546125271,41,0.00159454345703125,True,10.312635269013871,7.854992709972278
f4,caso_i,gradiente,armijo,[3. 1.],[ 0.1554372  -0.69456364],0.7731990564929566,[-0.1554  0.6946],1.4235151494124412,20,0.0010347366333007812,True,169.31184143840125,168.5386423819083
f4,caso_i,newton,armijo,[3. 1.],[-0.15543724  0.69456379],0.7731990564929242,[-0.1554  0.6946],5.19397251882143e-05,8,0.00038623809814453125,True,169.31184143840125,168.53864238190832
f4,caso_i,bfgs,armijo,[3. 1.],[ 0.15543731 -0.69456369],0.7731990564929575,[-0.1554  0.6946],1.4235152263177329,29,0.0016922950744628906,True,169.31184143840125,168.5386423819083
f4,caso_i,polak_ribiere,armijo,[3. 1.],[ 0.15543731 -0.69456365],0.7731990564929824,[-0.1554  0.6946],1.4235151878763757,23,0.0012459754943847656,True,169.31184143840125,168.53864238190826
f4,caso_ii,gradiente,armijo,[ 2. -2.],[-0.15543737  0.69456367],0.7731990564930049,[-0.1554  0.6946],5.2117639158299023e-05,19,0.0008940696716308594,True,17.0,16.226800943506994
f4,caso_ii,newton,armijo,[ 2. -2.],[ 0.15543724 -0.69456378],0.7731990564929236,[-0.1554  0.6946],1.423515290334449,7,0.00033283233642578125,True,17.0,16.226800943507076
f4,caso_ii,bfgs,armijo,[ 2. -2.],[-0.15543713  0.6945639 ],0.7731990564929989,[-0.1554  0.6946],5.1788971734339865e-05,24,0.0013370513916015625,True,17.0,16.226800943507
f4,caso_ii,polak_ribiere,armijo,[ 2. -2.],[-0.1554372   0.69456393],0.7731990564929836,[-0.1554  0.6946],5.18193477061862e-05,24,0.0012888908386230469,True,17.0,16.226800943507016
f9,caso_i,gradiente,armijo,[0. 0.],[1.35861939 3.9       ],0.2891491746172896,[3.483 3.9  ],2.1243806108341947,52,0.0015454292297363281,True,39.58,39.290850825382705
f9,caso_i,newton,armijo,[0. 0.],[1.3586195 3.9      ],0.289149174617247,[3.483 3.9  ],2.124380502446723,7,0.00021767616271972656,True,39.58,39.29085082538275
f9,caso_i,bfgs,armijo,[0. 0.],[3.4826843  3.90000026],-3.9871708075819416,[3.483 3.9  ],0.00031570361964547704,52,0.0023725032806396484,True,39.58,43.56717080758194
f9,caso_i,polak_ribiere,armijo,[0. 0.],[3.48268428 3.89999956],-3.9871708075816734,[3.483 3.9  ],0.00031571959476192233,26,0.001013040542602539,True,39.58,43.567170807581675
f9,caso_ii,gradiente,armijo,[5. 5.],[3.48268428 3.89999975],-3.98717080758186,[3.483 3.9  ],0.0003157158134079349,44,0.0015306472778320312,True,49.929999999999914,53.917170807581776
f9,caso_ii,newton,armijo,[5. 5.],[3.48268431 3.9       ],-3.987170807581837,[3.483 3.9  ],0.0003156939043691409,6,0.00020575523376464844,True,49.929999999999914,53.917170807581755
f9,caso_ii,bfgs,armijo,[5. 5.],[3.48268429 3.8999996 ],-3.9871708075817316,[3.483 3.9  ],0.00031570928571796964,63,0.0029344558715820312,True,49.929999999999914,53.91717080758165
f9,caso_ii,polak_ribiere,armijo,[5. 5.],[3.48268428 3.90000033],-3.987170807581727,[3.483 3.9  ],0.00031571631686609934,16,0.0006620883941650391,True,49.929999999999914,53.91717080758164
