problema,caso,metodo,beta,x0,x_otimo,f_otimo,f_inicial,reducao,violacao_eq,violacao_ineq,violacao_bounds,violacao_total,iteracoes,tempo,convergiu
Problema_1,caso_i,lagrangeana,,"[-2.,  2.,  0.]","[1., 1., 0.]",9.273113744402492e-16,4.09,4.089999999999999,3.979466089987227e-09,0.0,0.0,3.979466089987227e-09,2,0.007195711135864258,True
Problema_1,caso_i,penalidade,2.0,"[-2.,  2.,  0.]","[1., 1., 0.]",5.964228690270767e-16,4.09,4.089999999999999,8.386274408245242e-08,0.0,0.0,8.386274408245242e-08,2,0.01987910270690918,True
Problema_1,caso_i,penalidade,10.0,"[-2.,  2.,  0.]","[1., 1., 0.]",1.1796934986080542e-15,4.09,4.089999999999999,1.1072059713512772e-08,0.0,0.0,1.1072059713512772e-08,2,0.0199892520904541,True
Problema_1,caso_i,penalidade,100.0,"[-2.,  2.,  0.]","[1., 1., 0.]",1.1829072177147538e-15,4.09,4.089999999999999,7.593667916694358e-10,0.0,0.0,7.593667916694358e-10,2,0.024166107177734375,True
Problema_1,caso_ii,lagrangeana,,"[5., 0., 1.]","[ 0.998165,  0.996332, -0.042836]",3.367708879119206e-08,625.16,625.1599999663229,1.1828157264748285e-07,0.0,0.0,1.1828157264748285e-07,50,4.118978261947632,False
Problema_1,caso_ii,penalidade,2.0,"[5., 0., 1.]","[nan, nan, nan]",,625.16,,,0.0,0.0,,50,20.64267921447754,False
Problema_1,caso_ii,penalidade,10.0,"[5., 0., 1.]","[0.871471, 0.759168, 0.358509]",0.00016528343697638342,625.16,625.159834716563,2.267823706603167e-10,0.0,0.0,2.267823706603167e-10,8,1.0521605014801025,True
Problema_1,caso_ii,penalidade,100.0,"[5., 0., 1.]","[nan, nan, nan]",,625.16,,,0.0,0.0,,50,4.043842554092407,False
Problema_1,caso_iii,lagrangeana,,"[-1.01,  0.  ,  0.01]","[0.99844 , 0.996882, 0.039499]",2.4347857783898296e-08,1.08100501,1.0810049856521422,2.435658560395737e-07,0.0,0.0,2.435658560395737e-07,50,3.5377254486083984,False
Problema_1,caso_iii,penalidade,2.0,"[-1.01,  0.  ,  0.01]","[nan, nan, nan]",,1.08100501,,,0.0,0.0,,50,22.740262031555176,False
